Name,Load(lb),delay(ms),Take Offset,data collection,Head Up,Calibration
Init(1)-140lb,140,200,0,0,0,0
Init(2)-70lb,70,200,0,0,0,0
Init(3)-0lb,0,200,0,0,0,0
Init(4)-140lb,140,200,0,0,0,0
Init(5)-70lb,70,200,0,0,1,0
Load(1)-0lb,0,6500,0,1,0,0
Load(2)-10lb,10,4000,0,1,0,0
Load(3)-20lb,20,4000,0,1,0,0
Load(4)-40lb,40,4000,0,1,0,0
Load(5)-60lb,60,4000,0,1,0,0
Load(6)-80lb,80,4000,0,1,0,0
Load(7)-100lb,100,4000,0,1,0,0
Load(8)-120lb,120,4000,0,1,1,0
Load(9)-0lb,0,6500,0,1,0,0
Load(10)-10lb,10,4000,0,1,0,0
Load(11)-20lb,20,4000,0,1,0,0
Load(12)-40lb,40,4000,0,1,0,0
Load(13)-60lb,60,4000,0,1,0,0
Load(14)-80lb,80,4000,0,1,0,0
Load(15)-100lb,100,4000,0,1,0,0
Load(16)-120lb,120,4000,0,1,1,0
Load(9)-0lb,0,6500,0,1,0,1
Load(10)-10lb,10,4000,0,1,0,1
Load(11)-20lb,20,4000,0,1,0,1
Load(12)-40lb,40,4000,0,1,0,1
Load(13)-60lb,60,4000,0,1,0,1
Load(14)-80lb,80,4000,0,1,0,1
Load(15)-100lb,100,4000,0,1,0,1
Load(16)-120lb,120,4000,0,1,1,1
Load(9)-0lb,0,6500,0,1,0,1
Load(10)-10lb,10,4000,0,1,0,1
Load(11)-20lb,20,4000,0,1,0,1
Load(12)-40lb,40,4000,0,1,0,1
Load(13)-60lb,60,4000,0,1,0,1
Load(14)-80lb,80,4000,0,1,0,1
Load(15)-100lb,100,4000,0,1,0,1
Load(16)-120lb,120,4000,0,1,1,1
END,0,500,0,0,0,0
