Name,Load(lb),delay(ms),Take Offset,data collection,Head Up,Calibration
Init(1)-0lb,0,2000,0,0,0,0
Init(2)-70lb,70,100,0,0,0,0
Init(3)-140lb,140,100,0,0,0,0
Init(4)-70lb,70,100,0,0,0,0
Init(5)-140lb,140,100,0,0,1,0
Load(1)-0lb,0,10000,1,1,0,0
Load(2)-10lb,10,3000,0,1,0,0
Load(3)-20lb,20,3000,0,1,0,0
Load(4)-40lb,40,3000,0,1,0,0
Load(5)-60lb,60,3000,0,1,0,0
Load(6)-80lb,80,3000,0,1,1,0
Load(1)-0lb,0,10000,1,1,0,1
Load(2)-20lb,20,3000,0,1,0,1
Load(3)-40lb,40,3000,0,1,0,1
Load(4)-80lb,80,3000,0,1,1,1
